时间,实际电流
2018/9/17 18:16,47.6
2018/9/17 18:16,47.2
2018/9/17 18:16,47.2
2018/9/17 18:16,47.2
2018/9/17 18:16,47.2
2018/9/17 18:16,47.2
2018/9/17 18:16,47.2
2018/9/17 18:16,47.2
2018/9/17 18:16,47.2
2018/9/17 18:16,47.2
2018/9/17 18:16,47.6
2018/9/17 18:16,47.6
2018/9/17 18:16,47.6
2018/9/17 18:16,47.6
2018/9/17 18:16,47.6
2018/9/17 18:16,47.6
2018/9/17 18:16,47.6
2018/9/17 18:16,47.2
2018/9/17 18:16,47.2
2018/9/17 18:16,47.2
2018/9/17 18:16,47.6
2018/9/17 18:16,47.6
2018/9/17 18:16,47.6
2018/9/17 18:16,47.6
2018/9/17 18:16,44
2018/9/17 18:16,44
2018/9/17 18:16,44
2018/9/17 18:16,44.4
2018/9/17 18:16,44.8
2018/9/17 18:16,44.8
2018/9/17 18:16,44.8
2018/9/17 18:16,44.8
2018/9/17 18:16,45.2
2018/9/17 18:16,45.2
2018/9/17 18:16,45.2
2018/9/17 18:16,44.4
2018/9/17 18:16,44.4
2018/9/17 18:16,44.4
2018/9/17 18:16,44.4
2018/9/17 18:16,44.4
2018/9/17 18:16,44.8
2018/9/17 18:16,44.8
2018/9/17 18:16,44.8
2018/9/17 18:16,45.2
2018/9/17 18:16,45.2
2018/9/17 18:16,45.2
2018/9/17 18:16,45.2
2018/9/17 18:16,47.2
2018/9/17 18:16,47.2
2018/9/17 18:16,47.2
2018/9/17 18:17,47.2
2018/9/17 18:17,47.2
2018/9/17 18:17,46.8
2018/9/17 18:17,46.8
2018/9/17 18:17,46.8
2018/9/17 18:17,46.8
2018/9/17 18:17,46.8
2018/9/17 18:17,46.8
2018/9/17 18:17,46.8
2018/9/17 18:17,46.8
2018/9/17 18:17,46.8
2018/9/17 18:17,46.8
2018/9/17 18:17,46.8
2018/9/17 18:17,46.4
2018/9/17 18:17,46.4
2018/9/17 18:17,46.4
2018/9/17 18:17,46.4
2018/9/17 18:17,46
2018/9/17 18:17,46
2018/9/17 18:17,46.4
2018/9/17 18:17,46.4
2018/9/17 18:17,46.4
2018/9/17 18:17,46.4
2018/9/17 18:17,46.8
2018/9/17 18:17,46.8
2018/9/17 18:17,47.2
2018/9/17 18:17,47.2
2018/9/17 18:17,47.2
2018/9/17 18:17,47.6
2018/9/17 18:17,47.6
2018/9/17 18:17,47.6
2018/9/17 18:17,47.6
2018/9/17 18:17,47.6
2018/9/17 18:17,47.6
2018/9/17 18:17,47.6
2018/9/17 18:17,47.6
2018/9/17 18:17,47.2
2018/9/17 18:17,47.2
2018/9/17 18:17,47.2
2018/9/17 18:17,47.2
2018/9/17 18:17,47.2
2018/9/17 18:17,47.2
2018/9/17 18:17,47.2
2018/9/17 18:17,47.2
2018/9/17 18:17,47.2
2018/9/17 18:17,47.2
2018/9/17 18:17,47.2
2018/9/17 18:17,47.2
2018/9/17 18:17,47.2
2018/9/17 18:17,47.2
2018/9/17 18:17,47.2
2018/9/17 18:17,47.2
2018/9/17 18:17,47.2
2018/9/17 18:17,47.2
2018/9/17 18:17,47.2
2018/9/17 18:17,47.2
2018/9/17 18:18,47.2
2018/9/17 18:18,47.2
2018/9/17 18:18,47.2
2018/9/17 18:18,45.2
2018/9/17 18:18,45.2
2018/9/17 18:18,45.2
2018/9/17 18:18,45.2
2018/9/17 18:18,45.2
2018/9/17 18:18,45.2
2018/9/17 18:18,45.2
2018/9/17 18:18,45.2
2018/9/17 18:18,45.2
2018/9/17 18:18,45.2
2018/9/17 18:18,45.2
2018/9/17 18:18,45.2
2018/9/17 18:18,45.2
2018/9/17 18:18,45.2
2018/9/17 18:18,45.2
2018/9/17 18:18,45.6
2018/9/17 18:18,45.6
2018/9/17 18:18,45.6
2018/9/17 18:18,45.6
2018/9/17 18:18,45.6
2018/9/17 18:18,45.6
2018/9/17 18:18,45.6
2018/9/17 18:18,47.6
2018/9/17 18:18,47.6
2018/9/17 18:18,47.6
2018/9/17 18:18,47.6
2018/9/17 18:18,47.6
